kimi-k2.5:cloud                          6d1c3246c608    -         7 days ago       
glm-4.7:cloud                            023608864819    -         11 days ago      
deepseek-r1:14b                          c333b7232bdb    9.0 GB    5 months ago     
qwen3-coder:latest                       ad67f85ca250    18 GB     6 months ago     
gpt-oss:20b                              f2b8351c629c    13 GB     6 months ago     
qwen3:latest                             500a1f067a9f    5.2 GB    6 months ago     
devstral:latest                          c4b2fa0c33d7    14 GB     7 months ago     
Osmosis/Osmosis-Structure-0.6B:latest    f24ec096ac55    1.2 GB    7 months ago     
qwen3:8b                                 500a1f067a9f    5.2 GB    8 months ago     
deepcoder:latest                         12bdda054d23    9.0 GB    9 months ago     
cogito:latest                            75b508ddece1    4.9 GB    9 months ago     
exaone-deep:latest                       106afe416a9e    4.8 GB    10 months ago    
phi4:14b                                 ac896e5b8b34    9.1 GB    10 months ago    
mistral:7b-instruct-q6_K                 bb307cbab5aa    5.9 GB    10 months ago    
gemma3:27b                               30ddded7fba6    17 GB     10 months ago    
gemma3:12b                               6fd036cefda5    8.1 GB    10 months ago    
gemma3:latest                            c0494fe00251    3.3 GB    10 months ago    
deepscaler:latest                        0031bcf7459f    3.6 GB    11 months ago    
granite3.2-vision:2b-q8_0                9b6204ce60f6    3.6 GB    11 months ago    
openthinker:latest                       aaffe05a5e2e    4.7 GB    11 months ago    
deepseek-r1:8b                           28f8fd6cdc67    4.9 GB    11 months ago    
llama3.2:3b                              a80c4f17acd5    2.0 GB    11 months ago  
